"inst","eid","pid","pmid","uptake","proj","exper","exper2","institute","country","submitter","file","first.row.in.file.int","last.row.in.file.int","row.in.file.plot","pub.id","pub.info","lat","long","topo","field","plot","plot.area","treat","rep","rep2","n.ints","t.start.p","t.end.p","dt1","dt.min","dt.max","ct.min","ct.max","meas.tech","meas.tech2","meas.tech.orig","meas.tech.det","j.NH31","j.rel1","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","clay","silt","sand","oc","soil.type","soil.type2","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","air.temp.z","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","soil.temp.z","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.z","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","wind.loc","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.tot","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","far.loc","man.source","man.source.orig","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.trt3","man.stor","man.dm","man.vs","man.tkn","man.tan","man.vfa","man.tic","man.ua","man.ph","acid","date.start","app.start","app.start.orig","app.end","app.end.orig","app.method","app.method2","app.method.orig","app.rate","tan.app","incorp","incorp.orig","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.orig","crop.z","crop.area","lai","notes.plot","flag.plot"
205,395,2244,2248,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",5,30,5,NA,NA,56.493,9.5614,"Flat","A","plot1",0.2,"WT","1",NA,26,2022-10-11 15:24:00,2022-10-14 03:22:00,2.4,2.3833,2.4,2.4,62.367,"Wind tunnel","wt","Wind tunnel",NA,1.7008,0.024298,NA,6.5867,9.5337,16.541,25.827,33.24,NA,NA,NA,35.462,NA,6.5867,9.5337,16.541,25.827,33.24,NA,NA,NA,35.462,NA,0.094095,0.1362,0.2363,0.36896,0.47485,NA,NA,NA,0.5066,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.7,10.2,9.0606,9.5306,9.6359,9.8084,9.8084,9.8084,9.8084,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 15:24:00,"1665501840",2022-10-14 05:46:00,"1665726360","bsth","bsth","Band spread or trailing hose",35,70,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,".",""
205,395,2245,2249,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",31,50,12,NA,NA,56.493,9.5614,"Flat","A","plot10",0.38,"DFC","5",NA,20,2022-10-11 16:36:00,2022-10-14 04:34:00,2.4,2.3833,7.2,2.4,62.367,"Dynamic chamber","chamber","Dynamic chamber",NA,2.0037,0.022263,NA,7.4573,10.446,18.759,27.636,34.913,NA,NA,NA,37.081,NA,7.4573,10.446,18.759,27.636,34.913,NA,NA,NA,37.081,NA,0.082859,0.11607,0.20843,0.30707,0.38792,NA,NA,NA,0.41201,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.2,9.75,9.3004,9.8406,9.8609,9.9507,9.9507,9.9507,9.9507,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 16:36:00,"1665506160",2022-10-14 06:58:00,"1665730680","bsth","bsth","Band spread or trailing hose",45,90,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
205,395,2246,2250,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",51,70,13,NA,NA,56.493,9.5614,"Flat","A","plot12",0.38,"DFC","6",NA,20,2022-10-11 16:52:00,2022-10-14 04:50:00,2.4,2.3833,7.2,2.4,62.367,"Dynamic chamber","chamber","Dynamic chamber",NA,2.0301,0.022556,NA,7.4168,10.283,18.245,27.22,34.547,NA,NA,NA,36.838,NA,7.4168,10.283,18.245,27.22,34.547,NA,NA,NA,36.838,NA,0.082409,0.11426,0.20272,0.30244,0.38385,NA,NA,NA,0.40931,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.2,9.75,9.1206,9.8508,9.851,9.897,9.897,9.897,9.897,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 16:52:00,"1665507120",2022-10-14 07:14:00,"1665731640","bsth","bsth","Band spread or trailing hose",45,90,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
205,395,2247,2251,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",71,89,7,NA,NA,56.493,9.5614,"Flat","A","plot13",0.2,"WT","3",NA,19,2022-10-11 17:00:00,2022-10-13 21:46:00,2.4,2.3833,7.2,2.4,59.967,"Wind tunnel","wt","Wind tunnel",NA,2.3237,0.033196,NA,8.7328,12.402,22.845,34.509,44.02,NA,NA,NA,46.456,NA,8.7328,12.402,22.845,34.509,44.02,NA,NA,NA,46.456,NA,0.12475,0.17716,0.32636,0.49299,0.62885,NA,NA,NA,0.66366,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.2,9.75,9.1206,9.8508,9.811,9.9889,9.9889,9.9889,9.9889,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 17:00:00,"1665507600",2022-10-14 04:58:00,"1665723480","bsth","bsth","Band spread or trailing hose",35,70,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
205,395,2248,2252,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",90,108,14,NA,NA,56.493,9.5614,"Flat","A","plot15",0.38,"DFC","7",NA,19,2022-10-11 17:16:00,2022-10-13 22:02:00,2.4,2.3833,7.2,2.4,59.967,"Dynamic chamber","chamber","Dynamic chamber",NA,2.1201,0.023557,NA,7.7682,10.784,19.157,28.024,34.849,NA,NA,NA,36.789,NA,7.7682,10.784,19.157,28.024,34.849,NA,NA,NA,36.789,NA,0.086313,0.11983,0.21286,0.31138,0.38721,NA,NA,NA,0.40876,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.2,9.4,8.9804,9.8508,9.786,9.9689,9.9689,9.9689,9.9689,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 17:16:00,"1665508560",2022-10-14 05:14:00,"1665724440","bsth","bsth","Band spread or trailing hose",45,90,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
205,395,2249,2253,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",109,133,15,NA,NA,56.493,9.5614,"Flat","A","plot16",0.38,"DFC","8",NA,25,2022-10-11 17:24:00,2022-10-14 02:58:00,2.4,2.3833,2.4,2.4,59.967,"Dynamic chamber","chamber","Dynamic chamber",NA,1.9931,0.022145,NA,7.2684,10.101,16.816,26.181,33.407,NA,NA,NA,35.399,NA,7.2684,10.101,16.816,26.181,33.407,NA,NA,NA,35.399,NA,0.08076,0.11223,0.18684,0.2909,0.37119,NA,NA,NA,0.39332,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.2,9.4,8.72,9.6907,9.6809,9.7768,9.7768,9.7768,9.7768,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 17:24:00,"1665509040",2022-10-14 05:22:00,"1665724920","bsth","bsth","Band spread or trailing hose",45,90,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
205,395,2250,2254,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",134,158,16,NA,NA,56.493,9.5614,"Flat","A","plot17",0.38,"DFC","9",NA,25,2022-10-11 17:32:00,2022-10-14 03:06:00,2.4,2.3833,2.4,2.4,59.967,"Dynamic chamber","chamber","Dynamic chamber",NA,2.0067,0.022296,NA,7.4456,10.442,17.484,26.554,33.18,NA,NA,NA,35.024,NA,7.4456,10.442,17.484,26.554,33.18,NA,NA,NA,35.024,NA,0.082729,0.11603,0.19426,0.29504,0.36867,NA,NA,NA,0.38916,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,9.7,9.15,8.6199,9.6206,9.6208,9.7327,9.7327,9.7327,9.7327,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 17:32:00,"1665509520",2022-10-14 05:30:00,"1665725400","bsth","bsth","Band spread or trailing hose",45,90,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
205,395,2251,2255,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",159,184,8,NA,NA,56.493,9.5614,"Flat","A","plot3",0.38,"DFC","1",NA,26,2022-10-11 15:40:00,2022-10-14 03:38:00,2.4,2.3833,2.4,2.4,62.367,"Dynamic chamber","chamber","Dynamic chamber",NA,2.1741,0.024156,NA,7.983,11.11,18.258,27.678,35.223,NA,NA,NA,37.671,NA,7.983,11.11,18.258,27.678,35.223,NA,NA,NA,37.671,NA,0.0887,0.12344,0.20287,0.30754,0.39137,NA,NA,NA,0.41857,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.2,9.95,8.9605,9.5507,9.6309,9.743,9.743,9.743,9.743,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 15:40:00,"1665502800",2022-10-14 06:02:00,"1665727320","bsth","bsth","Band spread or trailing hose",45,90,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
205,395,2252,2256,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",185,210,9,NA,NA,56.493,9.5614,"Flat","A","plot5",0.38,"DFC","2",NA,26,2022-10-11 15:56:00,2022-10-14 03:54:00,2.4,2.3833,2.4,2.4,62.367,"Dynamic chamber","chamber","Dynamic chamber",NA,2.3161,0.025735,NA,8.5046,11.801,19.069,27.859,34.812,NA,NA,NA,37.037,NA,8.5046,11.801,19.069,27.859,34.812,NA,NA,NA,37.037,NA,0.094496,0.13112,0.21187,0.30954,0.3868,NA,NA,NA,0.41152,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.2,9.95,8.9399,9.6304,9.6908,9.7891,9.7891,9.7891,9.7891,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 15:56:00,"1665503760",2022-10-14 06:18:00,"1665728280","bsth","bsth","Band spread or trailing hose",45,90,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
205,395,2253,2257,3,"MAG","testA",NA,"AU","DK","Pedersen, Johanna; Kamp, Jesper","../../data-submitted/03/AU/ALFAM2_template_7.0_DFCtest_JP_231108_JK.xlsx",211,236,10,NA,NA,56.493,9.5614,"Flat","A","plot6",0.38,"DFC","3",NA,26,2022-10-11 16:04:00,2022-10-14 04:02:00,2.4,2.3833,2.4,2.4,62.367,"Dynamic chamber","chamber","Dynamic chamber",NA,2.0705,0.023006,NA,7.5754,10.503,16.845,24.25,30.092,NA,NA,NA,32.059,NA,7.5754,10.503,16.845,24.25,30.092,NA,NA,NA,32.059,NA,0.084171,0.1167,0.18717,0.26945,0.33436,NA,NA,NA,0.35621,9,24,65,NA,NA,NA,0.19,NA,"Wet",NA,1.3,"Yes","No",NA,10.2,9.95,8.9399,9.6304,9.6908,9.7891,9.7891,9.7891,9.7891,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plot",NA,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mix","Mix","mix of slurry co-digested with other agricultural residues",NA,"Slurry","Anaerobic digestion",NA,NA,NA,5.99,NA,2.62,2,NA,NA,NA,7.5,FALSE,2022-10-11,2022-10-11 16:04:00,"1665504240",2022-10-14 06:26:00,"1665728760","bsth","bsth","Band spread or trailing hose",45,90,"none","None",NA,NA,NA,NA,NA,"stubble","Stubble",8,NA,NA,NA,""
