"","treat","elapsed.time","flux.mn","flux.sd","cum.mn","cum.sd","NH3.bg.mn"
"1","NEO",0,0.000419813082331966,6.29082879701236e-05,0,0,78.8498531076667
"2","NEO",1.73,0.000407265548062621,5.85574771096082e-05,0.0430080887805185,0.00626898547187835,69.877991153
"3","NEO",3.47,0.000348479931223418,5.41220330785729e-05,0.0823068537033926,0.011405666139788,62.4489823493333
"4","NEO",5.2,0.000304849074136619,4.32984638196647e-05,0.116279961982115,0.0155951849147663,57.0314100076667
"5","NEO",6.93,0.00023514517652288,2.40322530677984e-05,0.144359663016409,0.0186997199047602,62.460261216
"6","NEO",8.66,0.000246558069644721,1.3375575421306e-05,0.169408231817124,0.0205343673549906,41.3661761986667
"7","NEO",10.4,0.00020720980626836,1.25186711620563e-05,0.193004161364604,0.0217343680677449,41.2432068376667
"8","NEO",12.1,0.000195329241123965,9.54890544315524e-06,0.213936191829005,0.0226154440651358,36.021769472
"9","NEO",13.9,0.000169717272917175,3.55263931131089e-06,0.232918610559144,0.0231159413164414,33.3306252723333
"10","NEO",15.6,0.000154838559524517,1.00747673206726e-05,0.249795513846112,0.0233858317269568,32.9257270056667
"11","NEO",17.3,0.000148687652891346,1.07003273094619e-05,0.265578876891737,0.023685482901016,32.5711754536667
"12","NEO",19.1,0.000159098420071509,9.43361393629874e-06,0.281583752685806,0.023937409887108,34.1185878596667
"13","NEO",20.8,0.000157665916525368,1.75213664835581e-06,0.298055498188843,0.0240736974663161,32.902188521
"14","NEO",22.5,0.000146611496632662,2.55754680865444e-05,0.313877923673061,0.0235940698850081,39.1067257516667
"15","NEO",24.3,0.000213230790910873,4.24686023192572e-05,0.332589722625325,0.0230662506856111,38.2053100706667
"16","NEO",26,0.000199759270910386,3.22934387989345e-05,0.35406520584003,0.0229351027213038,35.103695822
"17","NEO",27.7,0.000174705542500593,6.89016211493546e-06,0.373537376137401,0.0223959277285144,30.5294071413333
"18","NEO",29.5,0.000118314603477902,7.03930927358116e-06,0.388774423728283,0.0221225708786114,28.0651273703333
"19","NEO",31.2,9.47040186750068e-05,3.47165803122592e-06,0.399851392080234,0.0223362043194373,23.2882389163333
"20","NEO",32.9,8.51531105194335e-05,1.58086818713136e-06,0.409203962798345,0.0225094836756952,19.625484835
"21","NEO",34.6,7.88734730252773e-05,5.29141716368558e-06,0.41773334514267,0.0228268506727145,18.871047998
"22","NEO",36.4,7.30039925054191e-05,5.40214840791819e-06,0.425630973350266,0.0233311693615847,17.9672200173333
"23","NEO",38.1,6.91397603862644e-05,4.06386634885184e-06,0.433022448500634,0.0237421139611016,17.254590105
"24","NEO",39.8,6.63978343019973e-05,7.65883535338568e-06,0.440070403424423,0.024127569131455,18.2187251003333
"25","NEO",41.6,7.81245364294929e-05,1.34672723329124e-05,0.447585566702461,0.0245261123208158,19.9839878533333
"26","NEO",43.3,0.000115349859206057,5.12284237403362e-05,0.45764623527551,0.024945085977578,20.1921904863333
"27","NEO",45,0.000141082968608904,3.96969784240261e-05,0.470980742321888,0.0271219276665829,24.1335327843333
"28","NEO",46.8,0.000140440460599883,2.54856001684947e-05,0.485619960640745,0.0289841618425082,22.8890821466667
"29","NEO",48.5,0.000100276513561196,1.86794515454912e-05,0.498137243297121,0.0301088043103568,22.012869664
"30","NEO",50.2,0.00011263956594729,1.92770698969041e-05,0.509208879431562,0.0318862457680347,22.013237707
"31","NEO",52,0.000101424778082736,7.37705712172992e-06,0.520340225321123,0.0326920343239791,19.2310972493333
"32","NEO",53.7,8.50738590186361e-05,5.55414481522959e-06,0.530038154450395,0.0329403544099266,18.712856959
"33","NEO",55.4,6.83919694601369e-05,3.41198662003456e-06,0.538018377531291,0.0333366192060766,16.969982434
"34","NEO",57.2,5.63995807999566e-05,3.9940306431862e-06,0.544507538144816,0.0335572699060991,15.1090552383333
"35","NEO",58.9,4.14709857308494e-05,8.06643169738265e-06,0.549596807604418,0.0340571521545629,15.9790936606667
"36","NEO",60.6,3.96998266565807e-05,1.39214282102366e-06,0.553817689848564,0.0345132594701351,12.3020574436667
"37","NEO",62.4,3.3441128647281e-05,5.94353220559751e-06,0.557621019524365,0.0348674273364145,12.2979622073333
"38","NEO",64.1,3.93740061410208e-05,1.26904730107085e-05,0.561407406533357,0.0354290007676466,13.1821919473333
