"","treat","elapsed.time","flux.mn","flux.sd","cum.mn","cum.sd","NH3.bg.mn"
"1","NEO",0,2.46237739396973e-05,2.2208796003136e-05,0,0,9.63263996636667
"2","NEO",1.73,9.42450101505321e-05,1.68321080969214e-05,0.00618117677269192,0.00202981334416154,9.1330935256
"3","NEO",3.47,9.17396322606055e-05,6.08355798871248e-07,0.0158523781780711,0.00291561515663108,7.93749990193333
"4","NEO",5.2,6.06166782994996e-05,1.66381830419304e-05,0.0237749063271965,0.00233843369133638,5.7571937099
"5","NEO",6.93,3.78426553231584e-05,6.74239327250076e-06,0.0288947916755748,0.00216853938401239,4.52514036163333
"6","NEO",8.66,2.76040149526009e-05,4.96689991856008e-06,0.0322980185299142,0.00231677362372412,4.12348104553333
"7","NEO",10.4,2.29188855706996e-05,5.40762620248517e-06,0.0349252093571259,0.00242038182155294,4.1031098378
"8","NEO",12.1,2.31851598399869e-05,2.81027510761343e-06,0.0373226197184816,0.00274214489746577,5.14086346356667
"9","NEO",13.9,2.31822356655233e-05,2.81161846810945e-06,0.0397337242847681,0.00302568225912057,4.6137408698
"10","NEO",15.6,2.32315826324096e-05,3.23928684443264e-06,0.0421472428362606,0.00333972344508389,4.17988543896667
"11","NEO",17.3,2.70951734526757e-05,6.14713234710631e-06,0.044764234152685,0.00375486668519738,4.13576852296667
"12","NEO",19.1,3.73393776789017e-05,8.13983395363387e-06,0.0481148308115271,0.00427274678798862,4.5772761878
"13","NEO",20.8,5.75658497840039e-05,1.83710987019156e-05,0.0530499026395981,0.00529126489740677,5.29473829473333
"14","NEO",22.5,7.28233667929542e-05,2.28219191204379e-05,0.0598301419016,0.00712618008811102,10.0216760124667
"15","NEO",24.3,8.01072825376301e-05,1.28907054944062e-05,0.0677825356667904,0.00887610465041955,10.9609367223333
"16","NEO",26,7.21279495264093e-05,5.32781271039972e-06,0.0756987677341204,0.00981499828605716,11.7573692219667
"17","NEO",27.7,6.61570408087332e-05,3.50611776148021e-06,0.0828895872315478,0.0100512547315039,12.4762795223333
"18","NEO",29.5,5.59094499204149e-05,9.17666427685852e-06,0.083451744273913,0.000701075089434458,11.6560989895
"19","NEO",36.4,1.7229643956493e-06,2.59060259738424e-06,0.0902957360299911,0.0066364874400124,6.5691788254
"20","NEO",38.1,-2.23240585735363e-06,2.58576723314314e-06,0.0902692450739825,0.00669305043265027,7.4677492171
"21","NEO",39.8,-6.52928889428412e-06,2.46091960027398e-05,0.0898136369468973,0.00805304365970482,14.2245238083333
"22","NEO",41.6,5.46437059042598e-05,3.80016986419744e-05,0.0923155866314161,0.0111145881629736,13.329606044
"23","NEO",43.3,7.18911120508568e-05,2.00503294898478e-05,0.0988953971650821,0.0140119710419484,12.5354677213333
