"","treat","elapsed.time","flux.mn","flux.sd","cum.mn","cum.sd"
"1","NEO",161,8.50663215825665e-06,3.61986268655744e-06,0.165870569852041,0.072835532141648
"2","Raw",161,1.46020972015671e-05,2.47089217112548e-07,0.835239775226233,0.180504138891743
"3","Separated",161,1.32725576780223e-05,5.34124650786597e-06,0.370237073994598,0.142298813897488
