"","elapsed.time","time","experiment"
"1",0,"11:00:00","22I"
"2",0,"12:00:00","22I"
"3",0,"12:00:00","22I"
"4",0,"12:00:00","22I"
"5",0,"12:00:00","22I"
"6",0,"12:00:00","22I"
"7",0,"12:00:00","22I"
"8",0,"13:00:00","22I"
"9",0,"13:00:00","22I"
"10",1.73,"13:00:00","22I"
"11",1.73,"13:00:00","22I"
"12",1.73,"13:00:00","22I"
"13",1.73,"14:00:00","22I"
"14",1.73,"14:00:00","22I"
"15",1.73,"14:00:00","22I"
"16",1.73,"14:00:00","22I"
"17",1.73,"14:00:00","22I"
"18",1.73,"15:00:00","22I"
"19",3.46,"15:00:00","22I"
"20",3.46,"15:00:00","22I"
"21",3.46,"15:00:00","22I"
"22",3.46,"15:00:00","22I"
"23",3.46,"16:00:00","22I"
"24",3.46,"16:00:00","22I"
"25",3.46,"16:00:00","22I"
"26",3.46,"16:00:00","22I"
"27",3.46,"16:00:00","22I"
"28",5.2,"17:00:00","22I"
"29",5.2,"17:00:00","22I"
"30",5.2,"17:00:00","22I"
"31",5.2,"17:00:00","22I"
"32",5.2,"17:00:00","22I"
"33",5.2,"17:00:00","22I"
"34",5.2,"18:00:00","22I"
"35",5.2,"18:00:00","22I"
"36",5.2,"18:00:00","22I"
"37",6.93,"18:00:00","22I"
"38",6.93,"18:00:00","22I"
"39",6.93,"19:00:00","22I"
"40",6.93,"19:00:00","22I"
"41",6.93,"19:00:00","22I"
"42",6.93,"19:00:00","22I"
"43",6.93,"19:00:00","22I"
"44",6.93,"19:00:00","22I"
"45",6.93,"20:00:00","22I"
"46",8.66,"20:00:00","22I"
"47",8.66,"20:00:00","22I"
"48",8.66,"20:00:00","22I"
"49",8.66,"21:00:00","22I"
"50",8.66,"21:00:00","22I"
"51",8.66,"21:00:00","22I"
"52",8.66,"21:00:00","22I"
"53",8.66,"21:00:00","22I"
"54",8.66,"21:00:00","22I"
"55",10.4,"22:00:00","22I"
"56",10.4,"22:00:00","22I"
"57",10.4,"22:00:00","22I"
"58",10.4,"22:00:00","22I"
"59",10.4,"23:00:00","22I"
"60",10.4,"23:00:00","22I"
"61",10.4,"23:00:00","22I"
"62",10.4,"23:00:00","22I"
"63",10.4,"23:00:00","22I"
"64",12.1,"23:00:00","22I"
"65",12.1,"00:00:00","22I"
"66",12.1,"00:00:00","22I"
"67",12.1,"00:00:00","22I"
"68",12.1,"00:00:00","22I"
"69",12.1,"00:00:00","22I"
"70",12.1,"01:00:00","22I"
"71",12.1,"01:00:00","22I"
"72",12.1,"01:00:00","22I"
"73",13.9,"01:00:00","22I"
"74",13.9,"01:00:00","22I"
"75",13.9,"02:00:00","22I"
"76",13.9,"02:00:00","22I"
"77",13.9,"02:00:00","22I"
"78",13.9,"02:00:00","22I"
"79",13.9,"02:00:00","22I"
"80",13.9,"02:00:00","22I"
"81",13.9,"03:00:00","22I"
"82",15.6,"03:00:00","22I"
"83",15.6,"03:00:00","22I"
"84",15.6,"03:00:00","22I"
"85",15.6,"03:00:00","22I"
"86",15.6,"04:00:00","22I"
"87",15.6,"04:00:00","22I"
"88",15.6,"04:00:00","22I"
"89",15.6,"04:00:00","22I"
"90",15.6,"04:00:00","22I"
"91",17.3,"05:00:00","22I"
"92",17.3,"05:00:00","22I"
"93",17.3,"05:00:00","22I"
"94",17.3,"05:00:00","22I"
"95",17.3,"05:00:00","22I"
"96",17.3,"06:00:00","22I"
"97",17.3,"06:00:00","22I"
"98",17.3,"06:00:00","22I"
"99",17.3,"06:00:00","22I"
"100",19.1,"06:00:00","22I"
"101",19.1,"07:00:00","22I"
"102",19.1,"07:00:00","22I"
"103",19.1,"07:00:00","22I"
"104",19.1,"07:00:00","22I"
"105",19.1,"07:00:00","22I"
"106",19.1,"07:00:00","22I"
"107",19.1,"08:00:00","22I"
"108",19.1,"08:00:00","22I"
"109",20.8,"08:00:00","22I"
"110",20.8,"08:00:00","22I"
"111",20.8,"09:00:00","22I"
"112",20.8,"09:00:00","22I"
"113",20.8,"09:00:00","22I"
"114",20.8,"09:00:00","22I"
"115",20.8,"09:00:00","22I"
"116",20.8,"09:00:00","22I"
"117",20.8,"10:00:00","22I"
"118",22.5,"10:00:00","22I"
"119",22.5,"10:00:00","22I"
"120",22.5,"10:00:00","22I"
"121",22.5,"10:00:00","22I"
"122",22.5,"11:00:00","22I"
"123",22.5,"11:00:00","22I"
"124",22.5,"11:00:00","22I"
"125",22.5,"11:00:00","22I"
"126",22.5,"11:00:00","22I"
"127",24.3,"12:00:00","22I"
"128",24.3,"12:00:00","22I"
"129",24.3,"12:00:00","22I"
"130",24.3,"12:00:00","22I"
"131",24.3,"12:00:00","22I"
"132",24.3,"13:00:00","22I"
"133",24.3,"13:00:00","22I"
"134",24.3,"13:00:00","22I"
"135",24.3,"13:00:00","22I"
"136",26,"13:00:00","22I"
"137",26,"13:00:00","22I"
"138",26,"14:00:00","22I"
"139",26,"14:00:00","22I"
"140",26,"14:00:00","22I"
"141",26,"14:00:00","22I"
"142",26,"14:00:00","22I"
"143",26,"15:00:00","22I"
"144",26,"15:00:00","22I"
"145",27.7,"15:00:00","22I"
"146",27.7,"15:00:00","22I"
"147",27.7,"15:00:00","22I"
"148",27.7,"16:00:00","22I"
"149",27.7,"16:00:00","22I"
"150",27.7,"16:00:00","22I"
"151",27.7,"16:00:00","22I"
"152",27.7,"16:00:00","22I"
"153",27.7,"17:00:00","22I"
"154",29.5,"17:00:00","22I"
"155",29.5,"17:00:00","22I"
"156",29.5,"17:00:00","22I"
"157",29.5,"17:00:00","22I"
"158",29.5,"18:00:00","22I"
"159",29.5,"18:00:00","22I"
"160",29.5,"18:00:00","22I"
"161",29.5,"18:00:00","22I"
"162",29.5,"18:00:00","22I"
"163",31.2,"19:00:00","22I"
"164",31.2,"19:00:00","22I"
"165",31.2,"19:00:00","22I"
"166",31.2,"19:00:00","22I"
"167",31.2,"19:00:00","22I"
"168",31.2,"19:00:00","22I"
"169",31.2,"20:00:00","22I"
