"","elapsed.time","temp","experiment"
"1",0,14.5,"22J"
"2",0,14.5,"22J"
"3",0,14.5,"22J"
"4",0,15.4,"22J"
"5",0,15.4,"22J"
"6",0,15.4,"22J"
"7",0,15.4,"22J"
"8",0,15.4,"22J"
"9",0,15.4,"22J"
"10",1.73,16,"22J"
"11",1.73,16,"22J"
"12",1.73,16,"22J"
"13",1.73,16,"22J"
"14",1.73,16.5,"22J"
"15",1.73,16.5,"22J"
"16",1.73,16.5,"22J"
"17",1.73,16.5,"22J"
"18",1.73,16.5,"22J"
"19",3.47,16.5,"22J"
"20",3.47,16.8,"22J"
"21",3.47,16.8,"22J"
"22",3.47,16.8,"22J"
"23",3.47,16.8,"22J"
"24",3.47,16.8,"22J"
"25",3.47,16.2,"22J"
"26",3.47,16.2,"22J"
"27",3.47,16.2,"22J"
"28",5.2,16.2,"22J"
"29",5.2,16.2,"22J"
"30",5.2,15.6,"22J"
"31",5.2,15.6,"22J"
"32",5.2,15.6,"22J"
"33",5.2,15.6,"22J"
"34",5.2,15.6,"22J"
"35",5.2,15.6,"22J"
"36",5.2,14.5,"22J"
"37",6.93,14.5,"22J"
"38",6.93,14.5,"22J"
"39",6.93,14.5,"22J"
"40",6.93,14.5,"22J"
"41",6.93,13.5,"22J"
"42",6.93,13.5,"22J"
"43",6.93,13.5,"22J"
"44",6.93,13.5,"22J"
"45",6.93,13.5,"22J"
"46",8.66,13.4,"22J"
"47",8.66,13.4,"22J"
"48",8.66,13.4,"22J"
"49",8.66,13.4,"22J"
"50",8.66,13.4,"22J"
"51",8.66,13.3,"22J"
"52",8.66,13.3,"22J"
"53",8.66,13.3,"22J"
"54",8.66,13.3,"22J"
"55",10.4,13.3,"22J"
"56",10.4,12.5,"22J"
"57",10.4,12.5,"22J"
"58",10.4,12.5,"22J"
"59",10.4,12.5,"22J"
"60",10.4,12.5,"22J"
"61",10.4,12.5,"22J"
"62",10.4,13,"22J"
"63",10.4,13,"22J"
"64",12.1,13,"22J"
"65",12.1,13,"22J"
"66",12.1,13,"22J"
"67",12.1,13.4,"22J"
"68",12.1,13.4,"22J"
"69",12.1,13.4,"22J"
"70",12.1,13.4,"22J"
"71",12.1,13.4,"22J"
"72",12.1,13.4,"22J"
"73",13.9,13.4,"22J"
"74",13.9,13.4,"22J"
"75",13.9,13.4,"22J"
"76",13.9,13.4,"22J"
"77",13.9,13.3,"22J"
"78",13.9,13.3,"22J"
"79",13.9,13.3,"22J"
"80",13.9,13.3,"22J"
"81",13.9,13.3,"22J"
"82",15.6,13,"22J"
"83",15.6,13,"22J"
"84",15.6,13,"22J"
"85",15.6,13,"22J"
"86",15.6,13,"22J"
"87",15.6,13,"22J"
"88",15.6,12.9,"22J"
"89",15.6,12.9,"22J"
"90",15.6,12.9,"22J"
"91",17.3,12.9,"22J"
"92",17.3,12.9,"22J"
"93",17.3,12.8,"22J"
"94",17.3,12.8,"22J"
"95",17.3,12.8,"22J"
"96",17.3,12.8,"22J"
"97",17.3,12.8,"22J"
"98",17.3,12.8,"22J"
"99",17.3,13,"22J"
"100",19.1,13,"22J"
"101",19.1,13,"22J"
"102",19.1,13,"22J"
"103",19.1,13.3,"22J"
"104",19.1,13.3,"22J"
"105",19.1,13.3,"22J"
"106",19.1,13.3,"22J"
"107",19.1,13.3,"22J"
"108",19.1,13.3,"22J"
"109",20.8,13.7,"22J"
"110",20.8,13.7,"22J"
"111",20.8,13.7,"22J"
"112",20.8,13.7,"22J"
"113",20.8,14.4,"22J"
"114",20.8,14.4,"22J"
"115",20.8,14.4,"22J"
"116",20.8,14.4,"22J"
"117",20.8,14.4,"22J"
"118",22.5,14.4,"22J"
"119",22.5,15.6,"22J"
"120",22.5,15.6,"22J"
"121",22.5,15.6,"22J"
"122",22.5,15.6,"22J"
"123",22.5,15.6,"22J"
"124",22.5,18,"22J"
"125",22.5,18,"22J"
"126",22.5,18,"22J"
"127",24.3,18,"22J"
"128",24.3,18,"22J"
"129",24.3,19.9,"22J"
"130",24.3,19.9,"22J"
"131",24.3,19.9,"22J"
"132",24.3,19.9,"22J"
"133",24.3,19.9,"22J"
"134",24.3,19.9,"22J"
"135",24.3,21.2,"22J"
"136",26,21.2,"22J"
"137",26,21.2,"22J"
"138",26,21.2,"22J"
"139",26,21.2,"22J"
"140",26,22.4,"22J"
"141",26,22.4,"22J"
"142",26,22.4,"22J"
"143",26,22.4,"22J"
"144",26,22.4,"22J"
"145",27.7,23.2,"22J"
"146",27.7,23.2,"22J"
"147",27.7,23.2,"22J"
"148",27.7,23.2,"22J"
"149",27.7,23.2,"22J"
"150",27.7,23.3,"22J"
"151",27.7,23.3,"22J"
"152",27.7,23.3,"22J"
"153",27.7,23.3,"22J"
"154",29.5,23.3,"22J"
"155",29.5,22.7,"22J"
"156",29.5,22.7,"22J"
"157",29.5,22.7,"22J"
"158",29.5,22.7,"22J"
"159",29.5,22.7,"22J"
"160",29.5,22.7,"22J"
"161",36.4,14,"22J"
"162",36.4,14,"22J"
"163",36.4,13.5,"22J"
"164",36.4,13.5,"22J"
"165",36.4,13.5,"22J"
"166",36.4,13.5,"22J"
"167",36.4,13.5,"22J"
"168",36.4,12.9,"22J"
"169",36.4,12.9,"22J"
"170",38.1,12.9,"22J"
"171",38.1,12.9,"22J"
"172",38.1,12.9,"22J"
"173",38.1,12.8,"22J"
"174",38.1,12.8,"22J"
"175",38.1,12.8,"22J"
"176",38.1,12.8,"22J"
"177",38.1,12.8,"22J"
"178",38.1,13.6,"22J"
"179",39.8,13.6,"22J"
"180",39.8,13.6,"22J"
"181",39.8,13.6,"22J"
"182",39.8,13.6,"22J"
"183",39.8,14.8,"22J"
"184",39.8,14.8,"22J"
"185",39.8,14.8,"22J"
"186",39.8,14.8,"22J"
"187",39.8,14.8,"22J"
"188",41.6,16.1,"22J"
"189",41.6,16.1,"22J"
"190",41.6,16.1,"22J"
"191",41.6,16.1,"22J"
"192",41.6,16.1,"22J"
"193",41.6,16.1,"22J"
"194",41.6,18.2,"22J"
"195",41.6,18.2,"22J"
"196",41.6,18.2,"22J"
"197",43.3,18.2,"22J"
"198",43.3,18.2,"22J"
"199",43.3,20.5,"22J"
"200",43.3,20.5,"22J"
"201",43.3,20.5,"22J"
"202",43.3,20.5,"22J"
"203",43.3,20.5,"22J"
"204",43.3,20.5,"22J"
"205",43.3,22.7,"22J"
"206",45,22.7,"22J"
"207",45,22.7,"22J"
"208",45,22.7,"22J"
"209",45,24,"22J"
"210",45,24,"22J"
"211",45,24,"22J"
"212",45,24,"22J"
"213",45,24,"22J"
"214",45,24,"22J"
"215",46.8,25.3,"22J"
"216",46.8,25.3,"22J"
"217",46.8,25.3,"22J"
"218",46.8,25.3,"22J"
"219",46.8,26.2,"22J"
"220",46.8,26.2,"22J"
"221",46.8,26.2,"22J"
"222",46.8,26.2,"22J"
"223",46.8,26.2,"22J"
"224",48.5,26.2,"22J"
"225",48.5,26.2,"22J"
"226",48.5,26.2,"22J"
"227",48.5,26.2,"22J"
"228",48.5,26.2,"22J"
"229",48.5,26.2,"22J"
"230",48.5,26.2,"22J"
"231",48.5,26.2,"22J"
"232",48.5,26.2,"22J"
"233",50.2,26.2,"22J"
"234",50.2,26.2,"22J"
"235",50.2,26.2,"22J"
"236",50.2,26.2,"22J"
"237",50.2,26.2,"22J"
"238",50.2,26.2,"22J"
"239",50.2,26.2,"22J"
"240",50.2,26.2,"22J"
