"","treat","elapsed.time","flux.mn","flux.sd","cum.mn","cum.sd"
"1","NEO",161,1.48124590037688e-06,8.04920784577737e-07,0.158820079842377,0.014540447180669
"2","Raw",161,4.10587103989589e-06,1.26693729365409e-06,0.873470536707143,0.10206245225429
"3","Separated",161,1.59460100232488e-06,5.77655900741014e-07,0.347425897107136,0.0843874707147825
