"","treat","elapsed.time","flux.mn","flux.sd","cum.mn","cum.sd"
"1","NEO",161,1.42944569512676e-05,2.9305722524377e-05,0.306991450373875,0.0362589075360245
"2","Raw",161,1.72681840617416e-05,3.17366646053798e-05,2.5977394031057,0.0636421446761843
"3","Separated",161,1.4669353424779e-05,3.81700684169386e-05,0.676911064771249,0.1371555430272
